Metric,Value
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,246
design__max_cap_violation__count__corner:min_ff_n40C_1v95,2
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.32017442381366285
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.32060763285012356
timing__hold__ws__corner:min_ff_n40C_1v95,0.1093033472447983
timing__setup__ws__corner:min_ff_n40C_1v95,9.396624189162468
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.109303
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,15.105013
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,218
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,446
design__max_fanout_violation__count__corner:max_tt_025C_1v80,246
design__max_cap_violation__count__corner:max_tt_025C_1v80,19
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.40053136940795914
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4039284299147826
timing__hold__ws__corner:max_tt_025C_1v80,0.327661462792151
timing__setup__ws__corner:max_tt_025C_1v80,7.630889913723456
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.327661
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
