Metric,Value
design__max_cap_violation__count__corner:max_tt_025C_1v80,6
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.3842276328079351
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.39951473815555755
timing__hold__ws__corner:max_tt_025C_1v80,0.29177505681844046
timing__setup__ws__corner:max_tt_025C_1v80,8.330343761695506
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.291775
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,8.330344
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,4155
design__max_fanout_violation__count__corner:max_ss_100C_1v60,209
design__max_cap_violation__count__corner:max_ss_100C_1v60,21
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.4475042407745182
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.48074545705052146
timing__hold__ws__corner:max_ss_100C_1v60,0.8881398090571775
timing__setup__ws__corner:max_ss_100C_1v60,-2.59396778066078
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-172.94013821610915
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-2.59396778066078
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.888140
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,182
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-2.593968
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,182
timing__unannotated_net__count__corner:max_ss_100C_1v60,194
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,49
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,209
design__max_cap_violation__count__corner:max_ff_n40C_1v95,5
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.34834322523572536
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.3572897356880868
timing__hold__ws__corner:max_ff_n40C_1v95,0.0764363038942517
timing__setup__ws__corner:max_ff_n40C_1v95,9.768236274118069
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.076436
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,12.477886
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,194
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,194
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79992
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000845506
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000100439
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000117071
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000100439
design_powergrid__voltage__worst,0.000100439
design_powergrid__voltage__worst__net:VPWR,1.79992
design_powergrid__drop__worst,0.000100439
design_powergrid__drop__worst__net:VPWR,0.0000845506
design_powergrid__voltage__worst__net:VGND,0.000100439
design_powergrid__drop__worst__net:VGND,0.000100439
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000011699999999999999788190263583231853772304020822048187255859375
ir__drop__worst,0.00008459999999999999638344849728355256957001984119415283203125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
